Estacao;Data;Hora;Evaporacao
83887;01/01/1995;0;2.1
83887;02/01/1995;0;1.2
83887;03/01/1995;0;2.2
83887;04/01/1995;0;4
83887;05/01/1995;0;2.9
83887;06/01/1995;0;1.7
83887;07/01/1995;0;1.2
83887;08/01/1995;0;1.7
83887;09/01/1995;0;3
83887;10/01/1995;0;0.5
83887;11/01/1995;0;2.8
83887;12/01/1995;0;0.2
83887;13/01/1995;0;1.4
83887;14/01/1995;0;1
83887;15/01/1995;0;1.5
83887;16/01/1995;0;1
83887;17/01/1995;0;2.9
83887;18/01/1995;0;2.6
83887;19/01/1995;0;1.7
83887;20/01/1995;0;1.5
83887;21/01/1995;0;2.2
83887;22/01/1995;0;1.8
83887;23/01/1995;0;2.9
83887;24/01/1995;0;4.4
83887;25/01/1995;0;5.4
83887;26/01/1995;0;2
83887;27/01/1995;0;4
83887;28/01/1995;0;2.5
83887;29/01/1995;0;2.3
83887;30/01/1995;0;4
83887;31/01/1995;0;3.8
83887;01/02/1995;0;2.3
83887;02/02/1995;0;1.3
83887;03/02/1995;0;2.2
83887;04/02/1995;0;3.6
83887;05/02/1995;0;3.4
83887;06/02/1995;0;1.6
83887;07/02/1995;0;5.4
83887;08/02/1995;0;6.8
83887;09/02/1995;0;4.3
83887;10/02/1995;0;1.4
83887;11/02/1995;0;3
83887;12/02/1995;0;2.2
83887;13/02/1995;0;3
83887;14/02/1995;0;1.9
83887;15/02/1995;0;1.6
83887;16/02/1995;0;3
83887;17/02/1995;0;3.5
83887;18/02/1995;0;2.9
83887;19/02/1995;0;2.5
83887;20/02/1995;0;3.3
83887;21/02/1995;0;3.4
83887;22/02/1995;0;4.5
83887;23/02/1995;0;2.7
83887;24/02/1995;0;0.9
83887;25/02/1995;0;0.5
83887;26/02/1995;0;2.1
83887;27/02/1995;0;2
83887;28/02/1995;0;1.8
83887;01/03/1995;0;2
83887;02/03/1995;0;2.2
83887;03/03/1995;0;2.8
83887;04/03/1995;0;1.6
83887;05/03/1995;0;2.1
83887;06/03/1995;0;2.2
83887;07/03/1995;0;2.9
83887;08/03/1995;0;3.9
83887;09/03/1995;0;1.1
83887;10/03/1995;0;2
83887;11/03/1995;0;2.9
83887;12/03/1995;0;2.4
83887;13/03/1995;0;2.1
83887;14/03/1995;0;4
83887;15/03/1995;0;6.3
83887;16/03/1995;0;3.7
83887;17/03/1995;0;4.5
83887;18/03/1995;0;4.2
83887;19/03/1995;0;5
83887;20/03/1995;0;3.6
83887;21/03/1995;0;3
83887;22/03/1995;0;4.3
83887;23/03/1995;0;4.1
83887;24/03/1995;0;1.4
83887;25/03/1995;0;1.7
